"id","scenario_id","user_id","influence","response_date"
"217","1","642431b77eb77","Authority","2023-03-29 12:40:59"
"218","2","642431b77eb77","Commitment and Consistency","2023-03-29 12:41:33"
"219","3","642431b77eb77","Scarcity","2023-03-29 12:41:44"
"220","4","642431b77eb77","Scarcity","2023-03-29 12:41:59"
"221","5","642431b77eb77","Scarcity","2023-03-29 12:42:10"
"222","6","642431b77eb77","Scarcity","2023-03-29 12:42:21"
"223","1","6424326ab54a0","Authority","2023-03-29 12:43:34"
"224","2","6424326ab54a0","Reciprocity","2023-03-29 12:44:11"
"225","3","6424326ab54a0","Liking","2023-03-29 12:44:30"
"226","1","6424324464c22","Liking","2023-03-29 12:44:50"
"227","4","6424326ab54a0","Scarcity","2023-03-29 12:44:56"
"228","5","6424326ab54a0","Scarcity","2023-03-29 12:45:11"
"229","6","6424326ab54a0","Social Proof","2023-03-29 12:45:31"
"230","1","642433072dcd1","Commitment and Consistency","2023-03-29 12:46:32"
"231","2","6424324464c22","Authority","2023-03-29 12:47:01"
"232","2","642433072dcd1","Authority","2023-03-29 12:47:55"
"233","3","6424324464c22","Scarcity","2023-03-29 12:48:20"
"234","3","642433072dcd1","Scarcity","2023-03-29 12:48:28"
"235","4","642433072dcd1","Liking","2023-03-29 12:48:40"
"236","5","642433072dcd1","Scarcity","2023-03-29 12:48:43"
"237","6","642433072dcd1","Authority","2023-03-29 12:48:56"
"238","4","6424324464c22","Commitment and Consistency","2023-03-29 12:49:10"
"239","1","642432a027d7c","Authority","2023-03-29 12:49:11"
"240","5","6424324464c22","Authority","2023-03-29 12:49:13"
"241","6","6424324464c22","Reciprocity","2023-03-29 12:49:16"
"242","1","642433a7b3c15","Authority","2023-03-29 12:49:32"
"243","2","642433a7b3c15","Reciprocity","2023-03-29 12:50:25"
"244","1","642433b7bbff1","Authority","2023-03-29 12:50:31"
"245","2","642432a027d7c","Liking","2023-03-29 12:50:37"
"246","3","642433a7b3c15","Liking","2023-03-29 12:50:56"
"247","4","642433a7b3c15","Reciprocity","2023-03-29 12:51:11"
"248","3","642432a027d7c","Liking","2023-03-29 12:51:43"
"249","5","642433a7b3c15","Scarcity","2023-03-29 12:51:44"
"250","4","642432a027d7c","Scarcity","2023-03-29 12:52:20"
"251","2","642433b7bbff1","Commitment and Consistency","2023-03-29 12:52:23"
"252","1","6424341fb28c1","Authority","2023-03-29 12:52:27"
"253","6","642433a7b3c15","Scarcity","2023-03-29 12:52:33"
"254","1","6424343e7f817","Authority","2023-03-29 12:53:12"
"255","3","642433b7bbff1","Liking","2023-03-29 12:53:17"
"256","5","642432a027d7c","Scarcity","2023-03-29 12:53:20"
"257","2","6424341fb28c1","Commitment and Consistency","2023-03-29 12:53:29"
"258","6","642432a027d7c","Social Proof","2023-03-29 12:53:49"
"259","1","642434a18deae","Authority","2023-03-29 12:54:01"
"260","4","642433b7bbff1","Scarcity","2023-03-29 12:54:15"
"261","3","6424341fb28c1","Liking","2023-03-29 12:54:30"
"262","5","642433b7bbff1","Scarcity","2023-03-29 12:54:35"
"263","1","642435153dee9","Authority","2023-03-29 12:55:01"
"264","2","642434a18deae","Commitment and Consistency","2023-03-29 12:55:06"
"265","2","6424343e7f817","Social Proof","2023-03-29 12:55:15"
"266","6","642433b7bbff1","Social Proof","2023-03-29 12:55:35"
"267","4","6424341fb28c1","Scarcity","2023-03-29 12:55:39"
"268","3","642434a18deae","Liking","2023-03-29 12:55:40"
"269","5","6424341fb28c1","Scarcity","2023-03-29 12:55:51"
"270","2","642435153dee9","Commitment and Consistency","2023-03-29 12:56:30"
"271","1","6424325ef1cf0","Authority","2023-03-29 12:56:44"
"272","4","642434a18deae","Scarcity","2023-03-29 12:57:01"
"273","2","6424325ef1cf0","Authority","2023-03-29 12:57:03"
"274","3","642435153dee9","Liking","2023-03-29 12:57:07"
"275","3","6424343e7f817","Social Proof","2023-03-29 12:57:10"
"276","3","6424325ef1cf0","Reciprocity","2023-03-29 12:57:16"
"277","6","6424341fb28c1","Social Proof","2023-03-29 12:57:28"
"278","4","6424325ef1cf0","Commitment and Consistency","2023-03-29 12:57:34"
"279","4","642435153dee9","Reciprocity","2023-03-29 12:57:36"
"280","5","642435153dee9","Scarcity","2023-03-29 12:57:43"
"281","5","642434a18deae","Scarcity","2023-03-29 12:57:46"
"282","5","6424325ef1cf0","Scarcity","2023-03-29 12:57:48"
"283","6","6424325ef1cf0","Social Proof","2023-03-29 12:58:03"
"284","1","6424343f1fcfe","Authority","2023-03-29 12:58:05"
"285","6","642435153dee9","Social Proof","2023-03-29 12:58:07"
"286","6","642434a18deae","Social Proof","2023-03-29 12:58:12"
"287","2","6424343f1fcfe","Authority","2023-03-29 12:58:13"
"288","1","642435de85138","Authority","2023-03-29 12:58:30"
"289","4","6424343e7f817","Commitment and Consistency","2023-03-29 12:58:34"
"290","1","64243581aa051","Authority","2023-03-29 12:58:45"
"291","5","6424343e7f817","Scarcity","2023-03-29 12:58:52"
"292","3","6424343f1fcfe","Scarcity","2023-03-29 12:58:54"
"293","2","642435de85138","Commitment and Consistency","2023-03-29 12:58:56"
"294","1","6424358e23208","Authority","2023-03-29 12:58:56"
"295","4","6424343f1fcfe","Scarcity","2023-03-29 12:59:02"
"296","5","6424343f1fcfe","Scarcity","2023-03-29 12:59:12"
"297","6","6424343f1fcfe","Authority","2023-03-29 12:59:17"
"298","6","6424343e7f817","Social Proof","2023-03-29 12:59:44"
"299","3","642435de85138","Commitment and Consistency","2023-03-29 12:59:48"
"300","4","642435de85138","Scarcity","2023-03-29 13:00:26"
"301","2","64243581aa051","Reciprocity","2023-03-29 13:00:34"
"302","5","642435de85138","Scarcity","2023-03-29 13:00:40"
"303","2","6424358e23208","Social Proof","2023-03-29 13:00:42"
"304","3","6424358e23208","Liking","2023-03-29 13:01:06"
"305","3","64243581aa051","Scarcity","2023-03-29 13:01:25"
"306","6","642435de85138","Authority","2023-03-29 13:01:42"
"307","1","64243526e6051","Authority","2023-03-29 13:01:53"
"308","2","64243526e6051","Social Proof","2023-03-29 13:02:15"
"309","3","64243526e6051","Liking","2023-03-29 13:02:21"
"310","4","64243526e6051","Scarcity","2023-03-29 13:02:47"
"311","4","6424358e23208","Reciprocity","2023-03-29 13:02:53"
"312","5","64243526e6051","Scarcity","2023-03-29 13:02:54"
"313","4","64243581aa051","Social Proof","2023-03-29 13:02:55"
"314","5","6424358e23208","Scarcity","2023-03-29 13:03:01"
"315","6","64243526e6051","Authority","2023-03-29 13:03:08"
"316","1","64243717defee","Commitment and Consistency","2023-03-29 13:03:37"
"317","5","64243581aa051","Commitment and Consistency","2023-03-29 13:03:41"
"318","2","64243717defee","Reciprocity","2023-03-29 13:03:57"
"319","3","64243717defee","Authority","2023-03-29 13:04:03"
"320","4","64243717defee","Commitment and Consistency","2023-03-29 13:04:06"
"321","5","64243717defee","Reciprocity","2023-03-29 13:04:10"
"322","6","64243717defee","Scarcity","2023-03-29 13:04:15"
"323","1","642436bc0fd00","Authority","2023-03-29 13:04:19"
"324","1","64243723ed9fc","Authority","2023-03-29 13:05:02"
"325","2","642436bc0fd00","Commitment and Consistency","2023-03-29 13:05:07"
"326","6","64243581aa051","Authority","2023-03-29 13:05:27"
"327","2","64243723ed9fc","Reciprocity","2023-03-29 13:05:46"
"328","3","642436bc0fd00","Reciprocity","2023-03-29 13:05:56"
"329","3","64243723ed9fc","Liking","2023-03-29 13:06:00"
"330","4","642436bc0fd00","Reciprocity","2023-03-29 13:06:18"
"331","4","64243723ed9fc","Scarcity","2023-03-29 13:06:26"
"332","5","64243723ed9fc","Scarcity","2023-03-29 13:06:34"
"333","5","642436bc0fd00","Scarcity","2023-03-29 13:06:46"
"334","6","64243723ed9fc","Authority","2023-03-29 13:07:02"
"335","6","642436bc0fd00","Authority","2023-03-29 13:07:23"
"336","6","6424358e23208","Authority","2023-03-29 13:07:47"
"337","1","642437533bbe7","Authority","2023-03-29 13:08:54"
"338","2","642437533bbe7","Social Proof","2023-03-29 13:09:09"
"339","3","642437533bbe7","Liking","2023-03-29 13:09:28"
"340","1","642436078e93a","Authority","2023-03-29 13:09:49"
"341","2","642436078e93a","Commitment and Consistency","2023-03-29 13:10:06"
"342","3","642436078e93a","Social Proof","2023-03-29 13:10:24"
"343","4","642437533bbe7","Scarcity","2023-03-29 13:10:25"
"344","5","642437533bbe7","Scarcity","2023-03-29 13:10:33"
"345","4","642436078e93a","Authority","2023-03-29 13:10:59"
"346","5","642436078e93a","Scarcity","2023-03-29 13:11:16"
"347","6","642436078e93a","Authority","2023-03-29 13:11:42"
"348","6","642437533bbe7","Commitment and Consistency","2023-03-29 13:12:12"
"349","1","64243830c5a86","Commitment and Consistency","2023-03-29 13:14:14"
"350","2","64243830c5a86","Social Proof","2023-03-29 13:15:28"
"351","3","64243830c5a86","Liking","2023-03-29 13:15:51"
"352","4","64243830c5a86","Reciprocity","2023-03-29 13:16:45"
"353","5","64243830c5a86","Scarcity","2023-03-29 13:17:12"
"354","6","64243830c5a86","Authority","2023-03-29 13:17:43"
"355","1","642548ec367c5","Reciprocity","2023-03-29 13:35:37"
"356","2","642548ec367c5","Commitment and Consistency","2023-03-29 13:35:39"
"357","3","642548ec367c5","Social Proof","2023-03-29 13:35:41"
"358","4","642548ec367c5","Authority","2023-03-29 13:35:43"
"359","5","642548ec367c5","Liking","2023-03-29 13:35:46"
"360","6","642548ec367c5","Scarcity","2023-03-29 13:35:49"
"361","1","6425495e32533","Social Proof","2023-03-29 13:36:37"
"362","2","6425495e32533","Commitment and Consistency","2023-03-29 13:36:49"
"363","3","6425495e32533","Reciprocity","2023-03-29 13:36:56"
"364","4","6425495e32533","Liking","2023-03-29 13:36:59"
"365","5","6425495e32533","Authority","2023-03-29 13:37:02"
"366","6","6425495e32533","Scarcity","2023-03-29 13:37:05"
